node	conc_max	start_utc	candidate	episodes	median_s_per_episode	img	kind
bjxy	1	08-30 13:12	nosdf50-act-kl10-s3305	50	77	480	grasp
bjxy	1	08-30 14:13	nosdf50-act-kl10-s3306	50	31	480	grasp
bjxy	1	08-30 16:48	nosdf50-act-kl10-s3307-r2	50	57	480	grasp
bjxy	1	08-30 17:43	nosdf50-act-cyl100-s3401	50	63	480	grasp
bjxy	1	08-30 19:37	nosdf50-act-cyl100-s3403	50	55	480	grasp
bjxy	1	08-30 20:29	nosdf50-act-cyl100-s3404	50	99	480	grasp
bjxy	1	08-31 15:21	nosdf50-act-kl10-alcohol_lamp-recheck	50	54	480	grasp
bjxy	1	08-31 16:36	nosdf50-act-kl10-mortar-recheck	50	52	480	grasp
bjxy	1	08-31 16:40	nosdf50-pp-act-s932-r2	50	143	480	grasp
bjxy	1	08-31 18:36	nosdf50-act-kl10-s3309-r2	50	123	480	grasp
bjxy	1	09-01 07:24	nosdf50-act-cyl100fix-s3411	50	56	480	grasp
bjxy	1	09-01 11:13	nosdf50-act-cyl100fix-s3413	50	61	480	grasp
bjxy	1	09-01 19:12	nosdf50-act-chunk4-s3314	35	37	480	grasp
bjxy	1	09-01 20:45	nosdf50-dp-relabel-rgb-400d-s8101-snap1-epoch66	50	21	480	grasp
bjxy	1	09-01 21:55	nosdf50-act-chunk4-s3316	50	26	480	grasp
bjxy	1	09-01 22:15	ownerproto-dp-relabel-state-400d-s8001	50	31	480	grasp
bjxy	1	09-01 22:20	nosdf50-act-chunk4-s3317	50	84	480	grasp
bjxy	1	09-01 22:41	nosdf50-dp-relabelv2-state-400d-s8002	50	76	480	grasp
bjxy	1	09-01 23:51	nosdf50-c4fix-alcohol_lamp-s3501	50	96	480	grasp
bjxy	1	09-01 23:59	ownerproto-dp-relabelv2-state-400d-s8002	50	56	480	grasp
bjxy	1	09-02 03:14	nosdf50-c4fix-brown_reagent_bottle_large-s3501	50	57	480	grasp
bjxy	1	09-02 04:05	nosdf50-c4fix-brown_reagent_bottle_large-s3502	50	65	480	grasp
bjxy	1	09-02 05:17	nosdf50-c4fix-brown_volumetric_flask_250ml-s3501	50	63	480	grasp
bjxy	1	09-02 13:02	nosdf50-act-chunk4-s3313-r2	50	56	480	grasp
bjxy	1	09-02 13:51	nosdf50-act-chunk4-s3314-r2	50	31	480	grasp
bjxy	1	09-02 14:27	nosdf50-c4fix-clear_reagent_bottle_large-s3501	50	76	480	grasp
bjxy	1	09-02 16:15	nosdf50-c4fix-clear_reagent_bottle_small-s3501	50	149	480	grasp
bjxy	1	09-02 19:41	nosdf50-c4fix-erlenmeyer_flask-s3501	50	80	480	grasp
bjxy	1	09-02 21:53	nosdf50-act-chunk4-s3317-r2	50	58	480	grasp
bjxy	1	09-02 22:47	nosdf50-c4fix-clear_volumetric_flask_250ml-s3501-r2	50	41	480	grasp
