node	conc_max	start_utc	candidate	episodes	median_s_per_episode	img	kind
volc	1	09-02 21:06	volc-beaker100c4-s3801	50	107	480	grasp
volc	1	09-02 21:07	volc-beaker100c4-s3802	50	101	480	grasp
volc	1	09-02 22:24	volc-beaker100c4-s3803	50	100	480	grasp
volc	1	09-02 22:36	volc-beaker100c48k-s3851	50	43	480	grasp
volc	1	09-02 23:25	volc-beaker100c48k-s3852	50	43	480	grasp
volc	1	09-02 23:49	volc-c4fix8k-alcohol_lamp-s3552	50	94	480	grasp
volc	1	09-03 00:13	volc-c4fix8k-brown_reagent_bottle_large-s3552	50	54	480	grasp
volc	1	09-03 00:55	volc-c4fix8k-brown_volumetric_flask_250ml-s3551	50	103	480	grasp
volc	1	09-03 01:04	volc-c4fix8k-clear_reagent_bottle_large-s3552	50	101	480	grasp
volc	1	09-03 02:22	volc-c4fix8k-clear_reagent_bottle_small-s3551	50	103	480	grasp
volc	1	09-03 02:30	volc-c4fix8k-erlenmeyer_flask-s3552	50	96	480	grasp
volc	1	09-03 03:39	volc-c4fix8k-glass_beaker_250ml-s3552	50	100	480	grasp
volc	1	09-03 03:51	volc-c4fix8k-glass_cylinder_100ml-s3651	50	52	480	grasp
volc	1	09-03 04:45	volc-c4fix8k-mortar-s3552	50	88	480	grasp
volc	1	09-03 05:04	volc-c4fix8k-plastic_cylinder_100ml-s3552	50	106	480	grasp
volc	1	09-03 06:00	volc-c4fix8k-alcohol_lamp-s3551	50	93	480	grasp
volc	1	09-03 06:33	volc-c4fix8k-brown_reagent_bottle_large-s3551	50	101	480	grasp
volc	1	09-03 07:19	volc-c4fix8k-clear_reagent_bottle_large-s3551	50	102	480	grasp
volc	1	09-03 08:07	volc-c4fix8k-clear_volumetric_flask_250ml-s3551	50	57	480	grasp
volc	1	09-03 08:56	volc-c4fix8k-erlenmeyer_flask-s3551	50	97	480	grasp
volc	1	09-03 08:59	volc-c4fix8k-glass_beaker_250ml-s3551	50	100	480	grasp
volc	1	09-03 10:18	volc-c4fix8k-mortar-s3551	50	85	480	grasp
volc	1	09-03 10:24	volc-c4fix8k-plastic_cylinder_100ml-s3551	50	107	480	grasp
volc	1	09-03 11:30	volc-pp-raw8k-s3751	50	106	480	grasp
volc	1	09-03 11:54	volc-pp-raw8k-s3752	50	110	480	grasp
volc	1	09-03 13:00	volc-pp-raw-s3711	50	112	480	grasp
volc	1	09-03 13:27	volc-pp-raw-s3712	50	102	480	grasp
volc	1	09-03 14:33	volc-pp-raw-s3713	50	110	480	grasp
volc	1	09-03 14:54	volc-pp-sm2x-s3701	50	108	480	grasp
volc	1	09-03 16:05	volc-pp-sm2x-s3702	50	110	480	grasp
volc	1	09-03 16:24	volc-pp-sm2x-s3703	50	106	480	grasp
volc	1	09-03 17:37	volc-pp-sm2x-s3704	50	109	480	grasp
volc	1	09-03 18:00	volc-pp-sm2x-s3705	50	113	480	grasp
volc	1	09-03 19:09	volc-rlb8k-clear_reagent_bottle_large-s3951	50	40	480	grasp
volc	1	09-03 19:37	volc-pp-sm2x-s3706	50	111	480	grasp
volc	1	09-03 20:08	volc-cylc4-s3601	50	102	480	grasp
volc	1	09-03 21:09	volc-cylc4-s3602	50	48	480	grasp
volc	1	09-03 21:19	volc-rlb8k-brown_volumetric_flask_250ml-s3953	50	102	480	grasp
volc	1	09-03 21:51	volc-rlb8k-clear_reagent_bottle_large-s3953	50	104	480	grasp
volc	1	09-03 22:44	volc-rlb8k-clear_reagent_bottle_small-s3953	50	60	480	grasp
volc	1	09-03 23:19	volc-rlb8k-erlenmeyer_flask-s3953	50	98	480	grasp
volc	1	09-03 23:42	volc-rlb8k-glass_beaker_250ml-s3952	50	103	480	grasp
volc	1	09-04 00:42	volc-rlb8k-alcohol_lamp-s3953	50	96	480	grasp
volc	1	09-04 00:54	volc-rlb8k-brown_volumetric_flask_250ml-s3952	50	50	480	grasp
volc	1	09-04 01:37	volc-rlb8k-clear_reagent_bottle_large-s3952	50	44	480	grasp
